PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
國賓微風 1 廳	2015-11-05	19:00	108	開閉幕片	再見，在也不見	Distance	普	★	NA
國賓微風 5 廳	2015-11-05	19:00	108	開閉幕片	再見，在也不見	Distance	普		NA
國賓長春 A 廳	2015-11-06	13:40	124	亞洲之窗	特攝英雄	In the Hero	普		NA
國賓長春 A 廳	2015-11-06	16:20	106	影迷嘉年華	極渴救援	A Perfect Day	護		NA
國賓長春 A 廳	2015-11-06	18:50	139	作者相對論	新宿天鵝	Shinjuku Swan	輔		NA
國賓長春 A 廳	2015-11-06	21:50	114	音樂啟示錄	我的藍調青春	Low Down	輔		NA
新光影城 1 廳	2015-11-06	16:20	117	大師饗宴	人性誘惑	Foreign Body	輔		NA
新光影城 1 廳	2015-11-06	19:00	128	影迷嘉年華	騷動年代	We Are Young. We Are Strong.	護	★	NA
新光影城 1 廳	2015-11-06	22:10	85	作者相對論	追殺大笨蛋	Ned Rifle	限		NA
新光影城 2 廳	2015-11-06	13:40	127	亞洲之窗	戀愛疹療中	Heart Attack	普	★	NA
新光影城 2 廳	2015-11-06	16:50	104	影壇新世代	小鎮自殺疑雲	Bridgend	輔		NA
新光影城 2 廳	2015-11-06	19:10	90	華語透視界	香港三部曲	Hong Kong Trilogy: Preschooled Preoccupied Preposterous	護	★	NA
新光影城 2 廳	2015-11-06	21:40	103	音樂啟示錄	嘻哈宅男真藥命	Dope	輔		NA
光點華山 1 廳	2015-11-06	14:00	158	桀驁不馴的風格家：莫里斯皮亞拉	梵谷傳	Van Gogh	限		NA
光點華山 1 廳	2015-11-06	17:20	73	華語透視界	冬	Seven Days	護		NA
光點華山 1 廳	2015-11-06	19:10	91	經典重現	在那河畔青草青	Green Green Grass of Home	護		NA
光點華山 1 廳	2015-11-06	21:20	90	影迷嘉年華	世紀審判秀	The Eichmann Show	輔		NA
國賓長春 A 廳	2015-11-07	10:20	143	金馬獎入圍影片	智取威虎山3D	The Taking of Tiger Mountain 3D	輔		NA
國賓長春 A 廳	2015-11-07	13:10	105	影迷嘉年華	我們的故事未完待續	Me and Earl and the Dying Girl	護		NA
國賓長春 A 廳	2015-11-07	15:30	97	影迷嘉年華	梅格漢的心靈鑰匙	Manglehorn	護		NA
國賓長春 A 廳	2015-11-07	17:50	106	傳奇人生	汾陽小子賈樟柯	Jia Zhang-ke: A Guy from Fenyang	普		NA
國賓長春 A 廳	2015-11-07	20:10	98	作者相對論	贖罪俱樂部	The Club	護		NA
國賓長春 A 廳	2015-11-07	22:30	84	作者相對論	紐約新鮮人	Mistress America	護		NA
新光影城 1 廳	2015-11-07	11:00	97	大師饗宴	等待放晴的日子	Trap	護		NA
新光影城 1 廳	2015-11-07	13:20	119	影迷嘉年華	烈焰青春	Standing Tall	護		NA
新光影城 1 廳	2015-11-07	16:00	117	亞洲之窗	哲學咖啡館	Filosofi Kopi	護		NA
新光影城 1 廳	2015-11-07	19:00	119	奇幻世界	怪物的孩子	The Boy and the Beast	普	★	NA
新光影城 1 廳	2015-11-07	22:00	103	性別越界	平行時空遇見你	Butterfly	輔		NA
新光影城 2 廳	2015-11-07	10:50	124	亞洲之窗	特攝英雄	In the Hero	普		NA
新光影城 2 廳	2015-11-07	13:30	100	影迷嘉年華	樓下的夏天	Summers Downstairs	輔	★	NA
新光影城 2 廳	2015-11-07	16:10	137	亞洲之窗	巴霍巴利王：創始之初	Baahubali: The Beginning	護		NA
新光影城 2 廳	2015-11-07	19:10	127	亞洲之窗	戀愛疹療中	Heart Attack	普	★	NA
新光影城 2 廳	2015-11-07	22:20	82	奇幻世界	嬰魂不散	Hellions	限		NA
光點華山 1 廳	2015-11-07	11:10	90	影迷嘉年華	世紀審判秀	The Eichmann Show	輔		NA
光點華山 1 廳	2015-11-07	16:10	103	桀驁不馴的風格家：莫里斯皮亞拉	惡魔天空下	Under the Sun of Satan	輔	▲	NA
光點華山 1 廳	2015-11-07	18:30	100	影壇新世代	心塵家園	Land and Shade	護		NA
光點華山 1 廳	2015-11-07	20:50	110	金馬獎入圍影片	哪一天我們會飛	She Remembers, He Forgets	護		NA
國賓長春 A 廳	2015-11-08	10:50	89	金馬獎入圍影片	西遊記之大聖歸來	Monkey King - Hero Is Back	普		NA
國賓長春 A 廳	2015-11-08	13:00	101	奇幻世界	意外製造公司	The Surprise	護	▲	NA
國賓長春 A 廳	2015-11-08	15:20	95	影壇新世代	遺落流域	Lost River	護		NA
國賓長春 A 廳	2015-11-08	17:30	82	大師饗宴	計程人生	Taxi	輔		NA
國賓長春 A 廳	2015-11-08	19:30	128	作者相對論	岸邊之旅	Journey to the Shore	輔		NA
國賓長春 A 廳	2015-11-08	22:20	75	音樂啟示錄	Arcade Fire：另一面	The Reflektor Tapes	護		NA
新光影城 1 廳	2015-11-08	10:20	137	金馬獎入圍影片	老炮兒	Mr. Six	輔		NA
新光影城 1 廳	2015-11-08	13:10	119	奇幻世界	怪物的孩子	The Boy and the Beast	普	★	NA
新光影城 1 廳	2015-11-08	16:40	128	影迷嘉年華	騷動年代	We Are Young. We Are Strong.	護	★	NA
新光影城 1 廳	2015-11-08	19:40	104	奇幻世界	雞密真相	Men & Chicken	輔		NA
新光影城 1 廳	2015-11-08	22:00	118	空間魔法師：彼得格林納威	淹死老公	Drowning by Numbers	限		NA
新光影城 2 廳	2015-11-08	11:00	129	亞洲之窗	蟬之記	A Samurai Chronicle	普		NA
新光影城 2 廳	2015-11-08	13:50	100	影迷嘉年華	樓下的夏天	Summers Downstairs	輔	★	NA
新光影城 2 廳	2015-11-08	16:30	117	金馬獎入圍影片	捉妖記	Monster Hunt	護		NA
新光影城 2 廳	2015-11-08	19:10	104	影壇新世代	小鎮自殺疑雲	Bridgend	輔		NA
新光影城 2 廳	2015-11-08	21:30	140	亞洲之窗	寂寞的戀人啊	Three Stories of Love	限		NA
光點華山 1 廳	2015-11-08	12:30	90	金馬獎入圍影片	德蘭	De Lan	護		NA
光點華山 1 廳	2015-11-08	14:30	99	華語透視界	想入飛飛	3688	普		NA
光點華山 1 廳	2015-11-08	16:40	106	金馬獎入圍影片	少年巴比倫	Young Love Lost	普		NA
光點華山 1 廳	2015-11-08	19:00	105	空間魔法師：彼得格林納威	十日性愛死	Eisenstein in Guanajuato	限		NA
光點華山 1 廳	2015-11-08	21:20	90	亞洲之窗	勤勞的愛麗絲	Alice in Earnestland	限		NA
國賓長春 A 廳	2015-11-09	13:20	84	作者相對論	紐約新鮮人	Mistress America	護		NA
國賓長春 A 廳	2015-11-09	15:30	139	作者相對論	新宿天鵝	Shinjuku Swan	輔		NA
國賓長春 A 廳	2015-11-09	18:30	124	空間魔法師：彼得格林納威	廚師、大盜、他的太太和她的情人	The Cook, the Thief, His Wife & Her Lover	限	★	NA
國賓長春 A 廳	2015-11-09	21:40	106	影迷嘉年華	極渴救援	A Perfect Day	護		NA
新光影城 1 廳	2015-11-09	13:40	117	亞洲之窗	哲學咖啡館	Filosofi Kopi	護		NA
新光影城 1 廳	2015-11-09	16:40	85	作者相對論	追殺大笨蛋	Ned Rifle	限		NA
新光影城 1 廳	2015-11-09	18:50	90	台灣製造	幽鳥紀海風帕敢青年禁止下錨	Matryoshka	護	★	NA
新光影城 1 廳	2015-11-09	21:40	115	空間魔法師：彼得格林納威	一加二的故事	A Zed & Two Noughts	限		NA
新光影城 2 廳	2015-11-09	14:30	90	影迷嘉年華	世紀審判秀	The Eichmann Show	輔		NA
新光影城 2 廳	2015-11-09	16:50	99	亞洲之窗	披薩的滋味	The Crow	普		NA
新光影城 2 廳	2015-11-09	19:10	125	不設防地帶	夢遊亞馬遜	Embrace of the Serpent	輔		NA
新光影城 2 廳	2015-11-09	21:50	103	音樂啟示錄	嘻哈宅男真藥命	Dope	輔		NA
光點華山 1 廳	2015-11-09	14:00	110	金馬獎入圍影片	路邊野餐	Kaili Blues	護		NA
光點華山 1 廳	2015-11-09	16:20	110	金馬獎入圍影片	哪一天我們會飛	She Remembers, He Forgets	護		NA
光點華山 1 廳	2015-11-09	18:50	109	傳奇人生	法斯賓達：愛無所求	Fassbinder - To Love Without Demands	護		NA
光點華山 1 廳	2015-11-09	21:20	93	作者相對論	沉默公寓	One Floor Below	護		NA
國賓長春 A 廳	2015-11-10	13:40	105	影迷嘉年華	我們的故事未完待續	Me and Earl and the Dying Girl	護		NA
國賓長春 A 廳	2015-11-10	16:00	114	音樂啟示錄	我的藍調青春	Low Down	輔		NA
國賓長春 A 廳	2015-11-10	18:30	105	空間魔法師：彼得格林納威	十日性愛死	Eisenstein in Guanajuato	限	★	NA
國賓長春 A 廳	2015-11-10	21:50	102	影壇新世代	左右愛為難	Two Friends	輔		NA
新光影城 1 廳	2015-11-10	13:30	97	大師饗宴	等待放晴的日子	Trap	護		NA
新光影城 1 廳	2015-11-10	15:40	137	金馬獎入圍影片	老炮兒	Mr. Six	輔		NA
新光影城 1 廳	2015-11-10	18:40	103	性別越界	平行時空遇見你	Butterfly	輔		NA
新光影城 1 廳	2015-11-10	21:00	105	性別越界	激情夏戀	Summertime	輔		NA
新光影城 2 廳	2015-11-10	13:40	110	影壇新世代	共犯效應	Flocking	輔		NA
新光影城 2 廳	2015-11-10	16:10	140	亞洲之窗	寂寞的戀人啊	Three Stories of Love	限		NA
新光影城 2 廳	2015-11-10	19:10	103	不設防地帶	霓虹公路	Neon Bull	限		NA
新光影城 2 廳	2015-11-10	21:30	75	傳奇人生	犬之心	Heart of a Dog	護		NA
光點華山 1 廳	2015-11-10	11:00	124	作者相對論	一千零一夜I：不安之人	Arabian Nights Vol. I - The Restless One	輔		NA
光點華山 1 廳	2015-11-10	13:40	132	作者相對論	一千零一夜II：孤獨之人	Arabian Nights Vol. II - The Desolate One	限		NA
光點華山 1 廳	2015-11-10	16:30	126	作者相對論	一千零一夜III：迷醉之人	Arabian Nights Vol. III - The Enchanted One	輔		NA
光點華山 1 廳	2015-11-10	19:30	130	影迷嘉年華	我心深愛的國王	My King	輔	★	NA
國賓長春 A 廳	2015-11-11	13:00	101	性別越界	寶貝超級壞	Nasty Baby	輔		NA
國賓長春 A 廳	2015-11-11	15:10	97	影迷嘉年華	梅格漢的心靈鑰匙	Manglehorn	護		NA
